0.0000, 0.0000
0.0157, 0.0157
0.0314, 0.0314
0.0471, 0.0471
0.0628, 0.0628
0.0785, 0.0785
0.0942, 0.0941
0.1100, 0.1097
0.1257, 0.1253
0.1414, 0.1409
0.1571, 0.1564
0.1728, 0.1719
0.1885, 0.1874
0.2042, 0.2028
0.2199, 0.2181
0.2356, 0.2334
0.2513, 0.2487
0.2670, 0.2639
0.2827, 0.2790
0.2985, 0.2940
0.3142, 0.3090
0.3299, 0.3239
0.3456, 0.3387
0.3613, 0.3535
0.3770, 0.3681
0.3927, 0.3827
0.4084, 0.3971
0.4241, 0.4115
0.4398, 0.4258
0.4555, 0.4399
0.4712, 0.4540
0.4869, 0.4679
0.5027, 0.4818
0.5184, 0.4955
0.5341, 0.5090
0.5498, 0.5225
0.5655, 0.5358
0.5812, 0.5490
0.5969, 0.5621
0.6126, 0.5750
0.6283, 0.5878
0.6440, 0.6004
0.6597, 0.6129
0.6754, 0.6252
0.6912, 0.6374
0.7069, 0.6494
0.7226, 0.6613
0.7383, 0.6730
0.7540, 0.6845
0.7697, 0.6959
0.7854, 0.7071
0.8011, 0.7181
0.8168, 0.7290
0.8325, 0.7396
0.8482, 0.7501
0.8639, 0.7604
0.8796, 0.7705
0.8954, 0.7804
0.9111, 0.7902
0.9268, 0.7997
0.9425, 0.8090
0.9582, 0.8181
0.9739, 0.8271
0.9896, 0.8358
1.0053, 0.8443
1.0210, 0.8526
1.0367, 0.8607
1.0524, 0.8686
1.0681, 0.8763
1.0838, 0.8838
1.0996, 0.8910
1.1153, 0.8980
1.1310, 0.9048
1.1467, 0.9114
1.1624, 0.9178
1.1781, 0.9239
1.1938, 0.9298
1.2095, 0.9354
1.2252, 0.9409
1.2409, 0.9461
1.2566, 0.9511
1.2723, 0.9558
1.2881, 0.9603
1.3038, 0.9646
1.3195, 0.9686
1.3352, 0.9724
1.3509, 0.9759
1.3666, 0.9792
1.3823, 0.9823
1.3980, 0.9851
1.4137, 0.9877
1.4294, 0.9900
1.4451, 0.9921
1.4608, 0.9940
1.4765, 0.9956
1.4923, 0.9969
1.5080, 0.9980
1.5237, 0.9989
1.5394, 0.9995
1.5551, 0.9999
1.5708, 1.0000
